number,k_number,sensitivity/recall,specificity,precision,f_measure,accuracy
4,1,0.5340371974195299(0.02628905236194099),0.9862664346369924(0.0022849373861953994),0.8981818181818182(0.017627926754241206),0.6692963291362484(0.01977888679325103),0.8145(0.010781929326423873)
4,2,0.5953513571369012(0.02708866457715092),0.9884586571715831(0.003480933821267426),0.9127272727272725(0.026721706284907415),0.7203043090443854(0.023993446260839536),0.8311(0.007462573282722261)
4,3,0.5573333064306334(0.028342462657630112),0.9881784251823342(0.004219131167677841),0.9118181818181817(0.031766191290283914),0.6914364517250849(0.027178230351526365),0.8196999999999999(0.008899999999999967)
4,4,0.5675867590793455(0.013702923956478754),0.9877486135838074(0.002225317937365613),0.908181818181818(0.016983219720244927),0.6984446211880455(0.011976112010268958),0.8239000000000001(0.005028916384272068)
4,5,0.5657873354856965(0.021906411780398826),0.9895289228955322(0.0023379339140755856),0.9218181818181819(0.01781447085660494),0.7008654923216906(0.017100771313646127),0.8204999999999998(0.007965550828411043)
4,10,0.569745389800038(0.02593317396296546),0.9891742163775937(0.0029051889089432817),0.9190909090909092(0.021685200803411943),0.7032108070457116(0.0241250420340815),0.8223(0.006558200972827821)
4,15,0.5849608954402216(0.02049080967796913),0.9909208051012838(0.0024150298417816066),0.9318181818181819(0.018741389207353014),0.7183447903175443(0.014222904240678522),0.8245000000000001(0.008393449827097301)
4,20,0.5846467097461997(0.033599181557306464),0.9877288858280572(0.004148643149999946),0.9072727272727272(0.031960719693176286),0.7102176664605537(0.025042119162974268),0.8286999999999999(0.012165936051122407)
4,30,0.5942774986972028(0.021067684760729),0.9896263387636248(0.001737121340559186),0.9218181818181819(0.012984415324623362),0.7225051597559783(0.018054701242135988),0.8291999999999999(0.005268775948927801)
4,40,0.5882605829649479(0.03127161271801621),0.9888993801374024(0.0029486808975741938),0.9163636363636363(0.022563042992710655),0.7160358960007891(0.025569905323572086),0.8282(0.009442457307290309)
4,50,0.6092756406128117(0.017439000199302),0.9915844840740284(0.002369591290772219),0.9363636363636363(0.01818181818181818),0.7379825222722529(0.013536620232314204),0.8308(0.006063002556489653)
5,1,0.5240007020867515(0.015576006984755801),0.9913951214833947(0.002216358268963981),0.9160919540229884(0.02183908045977009),0.6665129182976587(0.015423478747671134),0.8478(0.004853864439804643)
5,2,0.5604713419600891(0.04253460084402258),0.9928794874377642(0.0024258620877170233),0.9298850574712644(0.024355885172893194),0.6982187101619629(0.031786009956530706),0.8547999999999998(0.011906300852909784)
5,3,0.5327833839965386(0.025532296357237094),0.9915575489544132(0.0034269806918223217),0.917241379310345(0.03440604493585233),0.6733069905357703(0.02018136019153652),0.8497999999999999(0.010332473082471599)
5,4,0.5486501255068752(0.021615756073298707),0.9927381917638218(0.002526586561447371),0.9287356321839081(0.025077499114105093),0.6894415815149156(0.01875796309426753),0.8525(0.007060453243241547)
5,5,0.5203328243678039(0.030759876761305767),0.9917258893847934(0.0010285536678723637),0.9195402298850576(0.010280772310343848),0.664015010500133(0.0248504502127846),0.8457000000000001(0.009581753492967776)
5,10,0.5483182102186281(0.03505301280787304),0.9943597649053354(0.002797493646711803),0.9448275862068964(0.027586206896551727),0.6932007777594756(0.030049774073284564),0.8494999999999999(0.010220078277586732)
5,15,0.5462634435327915(0.036505544359763796),0.9920184517167214(0.0024684219701588024),0.92183908045977(0.024000704618185164),0.6855416636156886(0.03318838748438521),0.8526999999999999(0.00786193360440039)
5,20,0.5902592863375626(0.03457725703232787),0.9928085853093732(0.0026987201568488056),0.9287356321839079(0.026611119316759135),0.721461595470944(0.03204754705399532),0.8628(0.006063002556489653)
5,30,0.5976742188454802(0.02804891702154454),0.9934049783519354(0.002251319202272991),0.9344827586206896(0.02243588654706108),0.728664631312012(0.023598897832549724),0.8637(0.006679071791798623)
5,40,0.5889951890978506(0.03692111572115705),0.9951227409635134(0.002099810043701983),0.9517241379310345(0.02106931354002687),0.7267572410250441(0.027227461792324385),0.8588000000000001(0.0103324730824716)
5,50,0.610368765248081(0.019641465756238284),0.9941102942004509(0.0015828639889357379),0.9413793103448276(0.015801985155020144),0.7403924518138141(0.01661437854775733),0.8657(0.004243819034784593)
6,1,0.46559684394110645(0.0339888161203869),0.9899934794558767(0.0021880526700044753),0.9045977011494253(0.02059364697375735),0.6142730290535292(0.03232858032682242),0.8303(0.00968555625661222)
6,2,0.47713602090834517(0.017850678326453377),0.9897136482639386(0.0023844878471968563),0.9011494252873563(0.023103162347404334),0.6237037044074236(0.017463880132160572),0.8354999999999999(0.006407027391856545)
6,3,0.4894219533423688(0.030713722174393),0.9907066188595257(0.002662110373246712),0.9103448275862067(0.026109923428966765),0.6358016426862446(0.024831569409915846),0.8375(0.011681181447096876)
6,4,0.4683428455534887(0.015255459533894487),0.9918021236920712(0.0023116402785890054),0.92183908045977(0.022288183252488842),0.620929382529465(0.014981295254896046),0.8286(0.006327716807822555)
6,5,0.46443556401753827(0.024595468438153825),0.9897686773528103(0.0025303774011460342),0.9022988505747126(0.02424715299968848),0.6128859012429013(0.023855841448575152),0.8305999999999999(0.008151073548925941)
6,10,0.47002192072227267(0.030692415239862797),0.9903859807877431(0.0024515479940967716),0.9080459770114944(0.023556208657378355),0.6187410267530293(0.02731797848376917),0.8311999999999999(0.011906300852909765)
